city;year;weekofyear;week_start_date;ndvi_ne;ndvi_nw;ndvi_se;ndvi_sw;precipitation_amt_mm;reanalysis_air_temp_k;reanalysis_avg_temp_k;reanalysis_dew_point_temp_k;reanalysis_max_air_temp_k;reanalysis_min_air_temp_k;reanalysis_precip_amt_kg_per_m2;reanalysis_relative_humidity_percent;reanalysis_sat_precip_amt_mm;reanalysis_specific_humidity_g_per_kg;reanalysis_tdtr_k;station_avg_temp_c;station_diur_temp_rng_c;station_max_temp_c;station_min_temp_c;station_precip_mm
sj;1992;1;01/01/1992;1251;1578667;1852833;1813667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sj;1992;2;08/01/1992;1008333;73575;1387143;1127857;20085;297913000000;298121000000;294457000000;3004;2961;183;813;20085;158786000000;23;256571000000;75;306;206;582
sj;1992;3;15/01/1992;2224;2299;1984571;1994143;312;297339000000;297486000000;294467000000;3002;2956;198;841171000000;312;158329000000;185714000000;254714000000;617143000000;311;217;323
sj;1992;4;22/01/1992;1225333;13105;1888429;1688714;0;297091000000;297336000000;293021000000;2995;2956;511;782914000000;0;144829000000;235714000000;248571000000;744286000000;306;200;13
sj;1992;5;29/01/1992;0;483;1736714;1919286;0;29742;29755;292719000000;2993;2955;65;7522;0;141857000000;244286000000;248;658571000000;289;200;92
sj;1992;6;05/02/1992;1016;846;1117167;1879571;0;29692;297129000000;292617000000;3007;2945;162;770586000000;0;141229000000;34;247143000000;735714000000;306;200;30
sj;1992;7;12/02/1992;0;1305;1957429;1788571;0;297799000000;298057000000;29465;3002;2953;201;828757000000;0;1606;22;260286000000;657143000000;322;200;13
sj;1992;8;19/02/1992;0;1844667;1946143;2030571;0;297899000000;298107000000;293629000000;3001;2963;44;772957000000;0;150129000000;258571000000;257571000000;738571000000;339;217;89
sj;1992;9;26/02/1992;10705;815;1652429;1630571;0;297473000000;297679000000;292967000000;2993;2963;144;760371000000;0;143814000000;241429000000;252857000000;617143000000;294;217;160
sj;1992;10;04/03/1992;0;18218;1910857;1928571;0;297651000000;2978;293317000000;2998;2957;55;768786000000;0;147014000000;231429000000;256571000000;781429000000;311;206;29
sj;1992;11;11/03/1992;8685;9015;128;1551;2322;297634000000;297786000000;29354;2996;2961;126;780571000000;2322;149443000000;251429000000;257857000000;775714000000;317;217;59
sj;1992;12;18/03/1992;5305;8405;1417714;1345143;0;297947000000;29815;293709000000;3004;2955;356;775057000000;0;151357000000;27;261;785714000000;311;217;48
sj;1992;13;25/03/1992;0;0;1348429;1068;0;297219000000;297429000000;293579000000;3003;2958;210;802386000000;0;149686000000;28;262;571429000000;322;222;23
sj;1992;14;01/04/1992;9995;7765;1930667;1769;12227;297983000000;298071000000;293884000000;3002;2960;162;780671000000;12227;152643000000;274286000000;262286000000;752857000000;311;217;241
sj;1992;15;08/04/1992;1039;1315;1224714;1243857;4321;298683000000;298879000000;294196000000;3016;2959;111;763757000000;4321;156129000000;361429000000;269857000000;784286000000;328;217;0
sj;1992;16;15/04/1992;7515;9743333;1590286;1729857;8311;297831000000;2980;294943000000;3004;2966;706;841843000000;8311;163243000000;214286000000;268143000000;588571000000;317;228;245
sj;1992;17;22/04/1992;922;1137;1514143;1548286;3616;298089000000;298257000000;294049000000;3006;2965;258;784257000000;3616;154529000000;282857000000;266714000000;724286000000;317;222;46
sj;1992;18;29/04/1992;125;635;7031429;8944286;0;298197000000;298521000000;2934;3021;2956;40;749329000000;0;149;361429000000;273714000000;65;339;233;16
sj;1992;19;06/05/1992;10875;2169;1823286;2073571;1392;298336000000;298443000000;294221000000;3021;2960;450;7848;1392;1575;30;267857000000;691429000000;339;222;320
sj;1992;20;13/05/1992;101875;-88;1420667;1259;294;298334000000;298514000000;294276000000;3004;2964;275;783814000000;294;156871000000;222857000000;274429000000;595714000000;311;228;81
sj;1992;21;20/05/1992;1024;686;6238333;574;7185;298409000000;298557000000;295767000000;3010;2968;5705;856471000000;7185;172329000000;271429000000;278571000000;677143000000;328;233;221
sj;1992;22;27/05/1992;1215;0;2191571;2130143;18625;298616000000;29875;296334000000;3014;2970;1303;873014000000;18625;178329000000;235714000000;274286000000;595714000000;317;239;802
sj;1992;23;03/06/1992;12165;13995;1100857;1022286;4224;299104000000;299229000000;296523000000;3010;2978;500;858271000000;4224;179957000000;211429000000;275;691429000000;317;228;1039
sj;1992;24;10/06/1992;8395;856;1023714;1117714;4321;298901000000;298964000000;296154000000;3005;2976;438;8487;4321;1757;198571000000;282;687143000000;328;244;1024
sj;1992;25;17/06/1992;10445;15315;1811571;1920857;5207;298931000000;298957000000;296043000000;3010;2970;371;842486000000;5207;174414000000;20;282857000000;674286000000;328;244;298
sj;1992;26;24/06/1992;1302;1302;13938;11475;5296;299569000000;29955;296384000000;3018;2980;337;827771000000;5296;178071000000;172857000000;284857000000;702857000000;328;239;54
sj;1992;27;01/07/1992;1194;1439;1693286;1684714;1074;300177000000;300379000000;296276000000;3018;2983;100;793343000000;1074;176671000000;227143000000;292286000000;664286000000;333;256;31
sj;1992;28;08/07/1992;0;192;1468571;1530714;186;300286000000;300564000000;296199000000;3022;2987;54;784971000000;186;175686000000;278571000000;287286000000;661429000000;328;244;18
sj;1992;29;15/07/1992;112;1255;14214;1825333;9414;29979;299829000000;296053000000;3018;2980;461;8015;9414;1743;20;276286000000;604286000000;317;239;452
sj;1992;30;22/07/1992;-1396;5918;1371286;1288714;3351;299227000000;299371000000;295876000000;3011;2980;6904;819843000000;3351;172486000000;202857000000;275571000000;685714000000;317;233;410
sj;1992;31;29/07/1992;539;1261333;1337714;1499143;3112;299026000000;299107000000;295746000000;3008;2977;588;823457000000;3112;171143000000;181429000000;279714000000;692857000000;322;228;142
sj;1992;32;05/08/1992;152675;173275;1500429;1450571;5922;299756000000;299914000000;296159000000;3015;2976;271;807843000000;5922;175471000000;242857000000;280714000000;61;317;233;166
sj;1992;33;12/08/1992;16395;12665;2150571;2192714;6555;299216000000;299221000000;296007000000;3013;2978;818;8275;6555;174157000000;195714000000;276714000000;755714000000;317;228;419
sj;1992;34;19/08/1992;1146;1368;1855857;1925714;6822;299491000000;299736000000;296214000000;3019;2983;616;823171000000;6822;176014000000;224286000000;282143000000;692857000000;339;244;427
sj;1992;35;26/08/1992;875;817;1799429;2217571;277;300067000000;300157000000;296057000000;3022;2981;289;788643000000;277;174586000000;242857000000;282714000000;682857000000;322;239;31
sj;1992;36;02/09/1992;0;2175;1240143;1256571;6155;300109000000;300157000000;296176000000;3020;2984;3436;792043000000;6155;175643000000;22;287286000000;748571000000;344;244;65
sj;1992;37;09/09/1992;123975;1768;2357429;2148286;2134;299727000000;299757000000;295937000000;3022;2982;872;7993;2134;173529000000;202857000000;280286000000;654286000000;322;239;236
sj;1992;38;16/09/1992;519;7226667;1775714;1588143;4132;299979000000;300071000000;296111000000;3022;2984;326;795257000000;4132;175414000000;234286000000;281429000000;708571000000;328;239;289
sj;1992;39;23/09/1992;1435;1435;1984;2122714;9555;299293000000;299379000000;296281000000;3014;2979;11679;837;9555;177514000000;204286000000;275571000000;724286000000;328;233;609
sj;1992;40;30/09/1992;1972;12715;1581333;9435;977;299624000000;299707000000;29613;3023;2976;342;812971000000;977;176043000000;23;279714000000;722857000000;333;233;226
sj;1992;41;07/10/1992;137225;10745;1771857;1911;231;300267000000;300329000000;296424000000;3028;2983;194;797371000000;231;178971000000;325714000000;288857000000;78;350;239;0
sj;1992;42;14/10/1992;3371;1979;1945857;1832286;1895;300119000000;300229000000;295893000000;3026;2977;113;778343000000;1895;173086000000;297143000000;291571000000;711429000000;333;250;80
sj;1992;43;21/10/1992;-156;312;1042167;1129833;1218;299849000000;299914000000;295646000000;3016;2984;215;778757000000;1218;170443000000;251429000000;286571000000;745714000000;328;239;119
sj;1992;44;28/10/1992;1242;1254;1156;1124286;8058;299803000000;299843000000;295806000000;3023;2970;250;7891;8058;172471000000;302857000000;286714000000;728571000000;333;239;186
sj;1992;45;04/11/1992;866;1209667;2244429;2498571;640;299807000000;29985;29627;3015;2985;277;810529000000;640;1773;207143000000;283857000000;77;333;222;142
sj;1992;46;11/11/1992;118;1422;8945;668;4006;299041000000;299207000000;295074000000;3009;2974;3172;790129000000;4006;164814000000;241429000000;275429000000;684286000000;317;228;1610
sj;1992;47;18/11/1992;764;5613333;1343714;6401429;4344;298343000000;298286000000;294653000000;3006;2966;4997;802557000000;4344;160671000000;182857000000;266857000000;70;311;222;261
sj;1992;48;25/11/1992;971;1026333;1617143;1198286;4742;298664000000;298743000000;296041000000;3011;2969;1281;855871000000;4742;175286000000;20;274;677143000000;328;233;463
sj;1992;49;02/12/1992;1083;74125;1750667;15275;5373;29846;29855;295253000000;3006;2970;548;826486000000;5373;166786000000;192857000000;266286000000;724286000000;311;222;626
sj;1992;50;09/12/1992;547;1099;1981571;2159667;8628;298734000000;298914000000;29465;3005;2975;1923;783114000000;8628;160243000000;211429000000;269143000000;718571000000;311;222;94
sj;1992;51;16/12/1992;0;66425;1923429;1941286;0;298286000000;298507000000;293829000000;3007;2964;2494;766614000000;0;152514000000;264286000000;266857000000;838571000000;322;217;475
sj;1992;52;23/12/1992;-1008;6821667;869;733125;0;297173000000;29735;2928;2991;2961;238;767571000000;0;143243000000;192857000000;259143000000;648571000000;294;217;55
sj;1993;53;01/01/1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sj;1993;1;08/01/1993;2835;4366667;7865714;4645714;4679;297467000000;29755;29415;2994;2961;419;818786000000;4679;1552;19;258714000000;65;306;217;280
sj;1993;2;15/01/1993;3006667;3785;1318857;1092;0;297331000000;297343000000;293069000000;2992;2962;275;771443000000;0;144671000000;171429000000;245;704286000000;283;206;235
sj;1993;3;22/01/1993;0;11345;2260571;2200286;0;297401000000;297629000000;293076000000;2995;2962;112;769843000000;0;1449;22;248571000000;712857000000;300;200;66
sj;1993;4;29/01/1993;6613333;5705;1303667;1473833;0;296967000000;297129000000;292841000000;2992;2955;218;778629000000;0;143071000000;208571000000;244;61;289;200;152
sj;1993;5;05/02/1993;47425;2253333;9238571;9468571;7597;297624000000;297686000000;294033000000;3004;2956;263;8061;7597;154529000000;208571000000;266714000000;764286000000;317;194;94
sj;1993;6;12/02/1993;2738;558;2020857;2047857;0;296594000000;2968;292871000000;2997;2947;143;798257000000;0;143857000000;234286000000;254286000000;674286000000;300;206;21
sj;1993;7;19/02/1993;1108667;173375;2375143;2274143;1471;29776;297971000000;293343000000;2996;2964;72;765329000000;1471;147529000000;248571000000;262714000000;81;317;206;28
sj;1993;8;26/02/1993;0;1339;2699286;2615857;0;296769000000;296871000000;292301000000;3001;2946;215;762171000000;0;138271000000;277143000000;257;73;322;206;55
sj;1993;9;05/03/1993;1744667;1338;1584833;1399167;0;297014000000;297243000000;291911000000;2997;2952;18;732257000000;0;134943000000;28;255714000000;815714000000;300;211;23
sj;1993;10;12/03/1993;9403333;214;2035714;2538286;0;296426000000;296643000000;290776000000;2989;2941;27;706457000000;0;125829000000;248571000000;249;761429000000;294;194;25
sj;1993;11;19/03/1993;-411;-436;1725333;1717714;968;297856000000;298014000000;293693000000;3004;2955;105;777843000000;968;150643000000;268571000000;269286000000;847143000000;333;211;5
sj;1993;12;26/03/1993;3225;10315;1850143;2041857;270;297586000000;297671000000;293223000000;2998;2963;130;768486000000;270;146486000000;225714000000;261429000000;752857000000;311;206;128
sj;1993;13;02/04/1993;1194;8853333;1404714;1174286;0;29734;297443000000;293813000000;2994;2957;2027;807957000000;0;152;214286000000;268857000000;762857000000;328;222;41
sj;1993;14;09/04/1993;0;423;1903667;2082143;749;297746000000;297893000000;293753000000;3001;2962;142;785643000000;749;151629000000;235714000000;272;771429000000;328;211;46
sj;1993;15;16/04/1993;-158;1885;68;834;1974;298013000000;2980;294066000000;3001;2959;232;789614000000;1974;155;305714000000;270714000000;778571000000;333;222;117
sj;1993;16;23/04/1993;828;788;1334571;1317;11485;297529000000;297743000000;294073000000;3001;2945;6349;812714000000;11485;154886000000;277143000000;258714000000;744286000000;311;217;84
sj;1993;17;30/04/1993;0;9256667;1315167;1252286;3335;298591000000;298693000000;295194000000;3004;2970;343;816557000000;3335;165971000000;247143000000;274857000000;838571000000;328;222;283
sj;1993;18;07/05/1993;7965;6415;1547429;1291571;3735;298153000000;298186000000;29526;3001;2969;407;840814000000;3735;166586000000;185714000000;269429000000;627143000000;322;222;1143
sj;1993;19;14/05/1993;7305;52;1074857;1070286;349;297671000000;297693000000;294847000000;3004;2961;1424;845214000000;349;162671000000;25;264714000000;60;311;228;183
sj;1993;20;21/05/1993;1769;901;1792;1866833;1484;298604000000;298721000000;295324000000;3012;2964;5567;824357000000;1484;168571000000;221429000000;282286000000;722857000000;339;233;46
sj;1993;21;28/05/1993;1645;10485;5147143;644;7817;299364000000;299379000000;296676000000;3018;2976;1002;853986000000;7817;181857000000;227143000000;289429000000;722857000000;339;233;321
sj;1993;22;04/06/1993;305;506;1981857;1761;622;298844000000;298914000000;296451000000;3014;2973;932;869;622;179514000000;191429000000;276429000000;588571000000;311;228;583
sj;1993;23;11/06/1993;1206;0;1537714;1484857;848;300659000000;300736000000;296979000000;3028;2985;202;806157000000;848;184914000000;264286000000;299;738571000000;344;250;13
sj;1993;24;18/06/1993;0;785;2209429;2193714;3065;299184000000;299264000000;295743000000;3010;2977;555;814929000000;3065;1713;21;277286000000;678571000000;322;233;579
sj;1993;25;25/06/1993;374;1399667;1681714;1343571;9375;299521000000;299493000000;296294000000;3018;2975;740;826086000000;9375;177129000000;195714000000;273429000000;697143000000;333;222;604
sj;1993;26;02/07/1993;1237667;1522;2154143;2187714;849;299704000000;299843000000;29651;3016;2982;275;828329000000;849;179229000000;20;288429000000;587143000000;328;250;72
sj;1993;27;09/07/1993;689;9593333;1463429;1590429;3728;299567000000;299629000000;29603;3016;2975;728;811486000000;3728;174071000000;188571000000;282429000000;684286000000;328;244;210
sj;1993;28;16/07/1993;375;9203333;1833571;2203714;7394;299584000000;299707000000;296056000000;3019;2977;677;812157000000;7394;1746;25;278857000000;652857000000;322;222;922
sj;1993;29;23/07/1993;1204;1826;1665857;1923714;481;299891000000;299964000000;29594;3020;2983;294;7915;481;173171000000;247143000000;285;725714000000;333;244;130
sj;1993;30;30/07/1993;8285;10608;12255;1236;7803;299237000000;299264000000;296593000000;3013;2980;1090;855514000000;7803;180343000000;175714000000;279429000000;60;322;222;714
sj;1993;31;06/08/1993;0;1488;2467667;2581143;1238;300063000000;300264000000;296857000000;3020;2983;126;828829000000;1238;183271000000;235714000000;290286000000;658571000000;328;244;8
sj;1993;32;13/08/1993;1016;1401;2187;1692571;725;300121000000;30035;296561000000;3020;2987;218;810129000000;725;179886000000;232857000000;290286000000;625714000000;328;250;181
sj;1993;33;20/08/1993;969;4966667;1970714;1632857;10683;29967;299771000000;296513000000;3023;2978;627;830757000000;10683;179529000000;222857000000;294143000000;642857000000;339;244;127
sj;1993;34;27/08/1993;10885;24925;2105714;2159143;136;299919000000;299986000000;29649;3021;2979;269;817271000000;136;179171000000;231429000000;289714000000;761429000000;333;244;171
sj;1993;35;03/09/1993;979;1581;1638571;1509143;3085;299976000000;300036000000;296107000000;3020;2985;344;796286000000;3085;175271000000;218571000000;286571000000;732857000000;328;244;288
sj;1993;36;10/09/1993;1121;688;596;5133333;4326;299761000000;299857000000;296129000000;3026;2982;421;806843000000;4326;175614000000;217143000000;284286000000;788571000000;328;233;434
sj;1993;37;17/09/1993;1199;971;2044429;1865857;1442;299673000000;299786000000;296291000000;3019;2983;500;817943000000;1442;177043000000;194286000000;286;737143000000;328;239;231
sj;1993;38;24/09/1993;54;63525;1392833;1168857;7136;300067000000;300143000000;296461000000;3024;2982;579;809014000000;7136;179529000000;268571000000;281571000000;692857000000;328;233;87
sj;1993;39;01/10/1993;34;517;726;9423333;7286;299886000000;299943000000;296651000000;3021;2984;760;8261;7286;1812;217143000000;282857000000;698571000000;328;239;267
sj;1993;40;08/10/1993;1213;705;1886286;1652714;2762;299591000000;299607000000;296633000000;3011;2982;5536;838414000000;2762;181043000000;167143000000;280143000000;75;333;233;168
sj;1993;41;15/10/1993;1317;645;20515;1731857;801;299957000000;300043000000;296426000000;3018;2987;358;811029000000;801;1786;194286000000;284;698571000000;322;244;270
sj;1993;42;22/10/1993;129;0;1347;1496857;0;300181000000;300243000000;296169000000;3024;2980;170;788071000000;0;175929000000;225714000000;282;77;333;239;64
sj;1993;43;29/10/1993;117;1143;2702;1092667;7007;299789000000;299721000000;296114000000;3015;2981;576;803986000000;7007;175557000000;195714000000;280714000000;714286000000;328;239;254
sj;1993;44;05/11/1993;0;1406667;1776167;1569;0;299886000000;299921000000;296007000000;3019;2985;161;795043000000;0;174414000000;23;279;724286000000;328;233;41
sj;1993;45;12/11/1993;-1589;493;8248333;1696;0;299229000000;29935;295299000000;3009;2978;256;790371000000;0;166629000000;227143000000;276429000000;772857000000;328;233;67
sj;1993;46;19/11/1993;17315;13825;17535;1117429;125;298846000000;29905;295189000000;3010;2975;7071;803771000000;125;1658;184286000000;271714000000;677143000000;317;228;488
sj;1993;47;26/11/1993;1071;1818;2600571;2705857;9181;298571000000;298679000000;295256000000;3011;2968;1181;821543000000;9181;166614000000;187143000000;268857000000;66;317;222;464
sj;1993;48;03/12/1993;3572667;-95;12734;8941429;609;298627000000;298721000000;294966000000;3005;2972;257;804657000000;609;164014000000;201429000000;267857000000;834286000000;333;211;55
sj;1993;49;10/12/1993;0;0;1632333;8283333;529;298219000000;298193000000;29452;3005;2966;434;803029000000;529;159329000000;235714000000;265286000000;708571000000;306;211;208
sj;1993;50;17/12/1993;-2902;-6766667;1682857;8;1482;298566000000;298586000000;29416;3008;2962;286;768543000000;1482;155714000000;245714000000;262286000000;785714000000;311;211;77
sj;1993;51;24/12/1993;-237;-2115;1181143;7024286;4262;298219000000;298336000000;294234000000;3012;2961;336;788286000000;4262;1565;255714000000;260429000000;682857000000;317;217;376
sj;1994;52;01/01/1994;0;0;0;0;525;298527000000;298779000000;294401000000;3010;2960;34;780186000000;525;1578;244286000000;269714000000;82;328;217;3
sj;1994;1;08/01/1994;-1209;193;9498571;1785143;126;298191000000;298286000000;293586000000;3001;2963;195;757429000000;126;149514000000;205714000000;255;674286000000;294;211;410
sj;1994;2;15/01/1994;1435;974;25425;21445;0;29759;297693000000;293721000000;2996;2960;194;7915;0;150971000000;221429000000;254571000000;727143000000;294;211;134
sj;1994;3;22/01/1994;741;1664333;151;1407143;0;297913000000;297943000000;29337;2997;2962;164;759843000000;0;147757000000;211429000000;250857000000;742857000000;300;200;266
sj;1994;4;29/01/1994;912;-1162667;1635571;1985143;0;297571000000;297707000000;293531000000;2992;2963;1904;783814000000;0;149386000000;232857000000;253286000000;704286000000;294;206;97
sj;1994;5;05/02/1994;2588;2112;2200571;2156;0;297589000000;297714000000;29323;2998;2958;218;768257000000;0;146343000000;22;257857000000;71;300;206;36
sj;1994;6;12/02/1994;882;117;768;69175;0;297516000000;297571000000;292853000000;2992;2959;115;7531;0;142886000000;174286000000;252571000000;752857000000;294;211;91
sj;1994;7;19/02/1994;3633;24185;2473857;2834143;0;297774000000;297943000000;292577000000;2994;2955;72;728857000000;0;1402;228571000000;257;715714000000;306;211;97
sj;1994;8;26/02/1994;0;9243333;1377571;7407143;0;297456000000;297564000000;292673000000;2993;2961;115;747886000000;0;141571000000;235714000000;257429000000;857143000000;306;206;79
sj;1994;9;05/03/1994;0;1446;17415;1530833;0;297236000000;297336000000;293129000000;3001;2954;167;779157000000;0;145586000000;25;253143000000;854286000000;306;206;162
sj;1994;10;12/03/1994;1125;1038;8821429;1224143;715;297269000000;297407000000;293887000000;2995;2955;187;815186000000;715;152586000000;244286000000;258857000000;705714000000;311;217;158
sj;1994;11;19/03/1994;1468;-4815;1946833;14055;0;297501000000;297671000000;292864000000;2998;2956;669;754357000000;0;143343000000;257143000000;258429000000;795714000000;311;211;168
sj;1994;12;26/03/1994;412;1005833;1528167;1368429;0;298014000000;298214000000;293176000000;3005;2955;29;746471000000;0;146171000000;365714000000;267286000000;991429000000;328;206;0
sj;1994;13;02/04/1994;978;15975;1270429;1195286;4662;298281000000;298464000000;293533000000;3001;2968;666;750829000000;4662;149457000000;247143000000;267;834286000000;333;211;10
sj;1994;14;09/04/1994;108;5093333;1369286;1190286;0;29812;298314000000;293151000000;3000;2968;44;739514000000;0;145471000000;24;264286000000;777143000000;311;217;23
sj;1994;15;16/04/1994;16435;13325;1874286;1552429;0;297537000000;297621000000;293734000000;2996;2960;370;795171000000;0;151471000000;21;259714000000;671429000000;300;211;167
